idx,Run0,Run1,Run2,Run3,Run4
0,-54.44798793671337,-96.79210456938479,-70.58228931348644,-67.68364844795794,-61.07961228646939
10000,-38.851338505835336,-34.09910073581884,-33.72251195000397,-38.9936779265514,-26.295328531653233
20000,-37.84745453631735,-31.4655458044458,-33.0437019182337,-35.872221513995456,-31.546955782550736
30000,-42.71449962533303,-31.758575994934095,-32.20313162283469,-35.42308735434075,-31.12770481609828
40000,-31.31934844084514,-30.426191262426816,-32.49320490637792,-35.47176961037246,-31.242497199991025
50000,-32.02196279038351,-30.46471171894034,-31.993526027870562,-34.78638357130166,-31.014253532444233
60000,-31.631869292051427,-30.783448164040294,-32.97259625891973,-33.998517857437115,-30.615866624332035
70000,-32.656571372791696,-55.42370830836877,-31.906506096970077,-34.25649393260396,-30.68261477065086
80000,-33.494998781665835,-54.72915165033524,-32.026029384765586,-34.05163839004375,-30.92957667984517
90000,-33.68254793277522,-57.089163366313066,-33.23159489625893,-33.95097045855295,-31.281992422452028
100000,-33.44467108694737,-57.070319975533955,-31.981377236582563,-34.23991935932755,-30.98242026312099
110000,-33.97042931833102,-59.01381004235538,-31.544396479861703,-33.25001499382159,-30.802057972046956
120000,-33.04261375708563,-59.83644445166954,-31.573831862397657,-33.25591768750937,-30.494820474450783
130000,-31.8055836668153,-61.29604265476625,-30.882339990571488,-33.3607730644542,-31.076666508490906
140000,-26.99222638333337,-60.533818441624625,-31.55750837336574,-33.49082894603687,-31.491305041037933
150000,-34.076322113056456,-59.95231401062246,-30.938925797412864,-35.093410649678404,-30.626211565281924
160000,-32.11868205066915,-59.312856602264304,-30.903615281447266,-33.15571800052632,-30.715694966992178
170000,-35.358335970051755,-58.51529846368673,-32.2898700428426,-32.97332728250398,-30.31875893346178
180000,-31.534618960271946,-57.088780867521834,-29.92569015875434,-33.14143662879394,-30.818272652343644
190000,-30.557565249208537,-58.352548685322475,-30.212489572387543,-33.30593747891227,-31.599042129443113
200000,-47.515996038151975,-56.032173692024784,-30.102884298731837,-33.16348885715092,-29.83146915792886
210000,-30.674066929693662,-59.256548698331954,-29.400517292330463,-33.36504355305698,-30.5246475672731
220000,-30.1204980311229,-29.253652679735993,-29.883928840453493,-33.58657303716245,-31.370405737596332
230000,-30.107010302166476,-30.16602580193957,-29.075720067739546,-33.477543138332365,-30.631509923975972
240000,-30.750676476515867,-58.47745394098168,-30.23765399403712,-33.8078908135928,-29.543671888232574
250000,-30.817812193974184,-60.60841071232813,-29.8248205584802,-33.45343480471134,-29.862343821961133
260000,-29.4799471139159,-56.901476680248976,-29.964455227030026,-33.8536661396338,-30.5760478998107
270000,-29.585984862594593,-59.471953287444045,-29.941446094700428,-33.49937835197455,-30.138185506040045
280000,-30.952543063782674,-58.232384626299826,-29.860493145835612,-33.227717363225864,-30.166212365940584
290000,-31.061540935003055,-58.78042589003425,-24.09740844236058,-33.458374149350306,-30.35373025541285
300000,-31.420420528887533,-57.57214838040383,-30.06323831570485,-33.17552404701432,-29.72388465926876
310000,-31.1658660412284,-58.94335321784502,-28.982486993118133,-32.948287261450766,-29.53581501073977
320000,-29.415343227011526,-30.31777266188329,-29.537963033517165,-33.61799542497971,-30.51850809934498
330000,-29.535205483797984,-59.432797929916845,-29.43754733366547,-32.86268564151172,-30.672917308432524
340000,-45.649609108059096,-54.500541188321016,-28.90894991345234,-33.243624299452165,-30.235292346950967
350000,-31.164835713251406,-57.44008236113819,-29.031781011346826,-32.923453364172325,-30.457465335309276
360000,-31.34249737175317,-56.82983338046876,-23.023063106963733,-33.09688104694988,-29.914408469493416
370000,-31.49926424281838,-58.889088636145104,-20.492989274334825,-33.14912956278132,-30.032604150613558
380000,-47.57693770420015,-58.52221642753744,-20.48044668749391,-33.26954177072847,-30.14318410405008
390000,-48.24808768378434,-28.350618730368854,-26.77395338288148,-34.884926217570595,-30.282185098705913
400000,-46.38507678088824,-58.187440715728634,-25.55540456384269,-34.21805622679541,-30.192036473052138
410000,-48.468216790692466,-58.75731302793595,-26.634061073232623,-33.323884186250204,-29.957292996342478
420000,-46.237194559121775,-57.38759078789827,-28.632113177662724,-33.26526639318279,-30.066615635883576
430000,-47.17965189399592,-55.256146826169214,-30.025717249661287,-33.31343170574401,-30.26284552938448
440000,-49.12127100584378,-54.55187745014498,-27.19276417391973,-64.88293647209915,-29.932870177090813
450000,-73.16933256470249,-58.22125079212364,-30.14706479219884,-33.35951603728928,-29.88165373265318
460000,-49.29739023920126,-35.380584054871946,-30.213456211983935,-33.144250382476756,-29.910833632318035
470000,-74.29700013860153,-57.6331427448882,-29.49812990376136,-33.09266242970828,-30.1813347803188
480000,-74.48411522732098,-27.128334301916713,-29.80078978989127,-33.30579694017004,-29.860578325473902
490000,-73.29801246178451,-55.635694402623585,-25.930893457689297,-33.264915084935694,-30.064422334407748
500000,-48.3899637010262,-31.725660645693015,-29.507326766326127,-66.07879163159551,-30.277296956555144
500000,-48.39221541597492,-31.841235337873403,-29.493073995742176,-34.22211645843423,-30.27658746413673
