idx,Run0,Run1,Run2,Run3,Run4
0,-103.28759872966329,-188.1011810015831,-143.63124557236662,-116.26805327140255,-166.30670218722446
10000,-103.78207806784448,-75.79650292696682,-68.58178540866226,-72.27262244770526,-113.89941426206977
20000,-145.65671338663978,-57.81810965937612,-62.571649453776914,-92.15543536425018,-179.109327816893
30000,-58.66540126533285,-57.00433127811811,-56.72438713681655,-69.11125203131965,-115.03428278486909
40000,-49.23988246355069,-53.61441335679386,-51.44664959280346,-53.854559475666555,-132.7366423017858
50000,-46.52658071824213,-54.753837743585095,-52.03860364913582,-56.122658502084434,-108.17110968150403
60000,-45.15624729940808,-49.63678548225773,-52.66095468330274,-58.297323990538665,-79.86430888804192
70000,-44.74704957403536,-46.829208003959955,-45.1965294688565,-55.68268428304476,-49.05785329938337
80000,-44.11470081182074,-46.903955086193875,-45.9924195208429,-53.943987331363616,-51.8791435812888
90000,-43.95743364454236,-47.19591933205687,-49.4092083793684,-51.280312558904875,-50.760599218142694
100000,-44.06106769800154,-48.43143661176255,-48.35666729327915,-55.0030373097172,-49.85434823366176
110000,-43.828338866959605,-46.63761615229834,-47.49968031411875,-49.40170646779074,-49.12220105668054
120000,-43.59802012554597,-47.313035468577866,-46.678182272156796,-51.63850378463376,-48.79959238990242
130000,-43.55817866043912,-47.79887511067135,-46.295262083666415,-50.49790551413711,-49.12729852740088
140000,-43.4372588909789,-48.714901392879604,-45.5228281683406,-50.26362171463382,-49.79468459629177
150000,-43.33914709749705,-45.35264471310574,-45.72126317795355,-50.049717813826994,-49.20189856051638
160000,-43.2616232485381,-46.679931427064794,-45.268802856568875,-49.74975398336569,-50.26064131973005
170000,-43.280256309840944,-45.250640467929735,-46.32751493715388,-50.67642373324824,-50.21167858762943
180000,-43.06715810967805,-47.8852964045193,-46.65290331158061,-50.10228303401185,-50.095613984701956
190000,-42.88038315417777,-45.37096104436827,-45.74691380610731,-47.92684084272498,-50.08650086576201
200000,-42.81902526406125,-45.35667138738348,-45.89246517427284,-48.38491286243815,-50.24095610299509
210000,-43.07140308662646,-46.12317566433538,-44.98315574055815,-48.53177420261779,-50.55906442647812
220000,-43.08032425743431,-48.92774146468038,-46.035572553498874,-48.16038655297754,-51.65769108438207
230000,-42.94755702246597,-47.80065798003084,-46.11833468799513,-46.7133174926101,-50.814334809451275
240000,-42.98241431913641,-50.18961615952407,-48.55174689200596,-46.6966600121003,-117.22765711656966
250000,-43.06716094232623,-49.11591678818471,-46.84809139408445,-48.22144516525563,-50.94242549571061
260000,-42.83386485534789,-47.201286582868,-45.952623937547635,-48.17291568109,-50.22467672698658
270000,-42.49135686327661,-49.5778563932029,-45.266798654881384,-49.094814487032544,-49.1810849057615
280000,-42.364307381738854,-47.99638538302854,-44.95692362182573,-47.66897451182823,-49.20646600818058
290000,-42.374427558849085,-46.05959878143852,-46.55176354672418,-46.399613968478704,-51.09461786181414
300000,-42.44879639586684,-46.65323820921794,-45.3684847490237,-48.11850983324145,-50.59282984017602
310000,-43.09126375962878,-45.6270624899013,-44.90285489478238,-47.06345550310307,-50.95776214423937
320000,-42.84510260925012,-46.760227537873966,-44.977913119947075,-46.1758368174296,-57.15793624573883
330000,-42.4010077219422,-47.89505309461708,-45.217055434634766,-45.87931679785557,-49.32863025924535
340000,-42.976676320810704,-47.38061234665779,-45.05167643078243,-47.14295794952771,-50.81882167692276
350000,-43.2316547919505,-47.88364413164273,-45.27323556184602,-46.935992512910666,-51.29303209271713
360000,-42.79721685364777,-46.78158972965841,-45.20727762804871,-46.96918293395017,-49.50428084560202
370000,-43.28401460208603,-47.33032828001951,-44.94259472192443,-46.40095401861619,-51.22280334233128
